label_0,label_1,period_label,period,value
Краснодарский край,рубль,,1998,687.2
Краснодарский край,рубль,,1999,1143.0
Краснодарский край,рубль,,2000,1563.4
Краснодарский край,рубль,,2001,2124.6
Краснодарский край,рубль,,2002,2856.8
Краснодарский край,рубль,,2003,3662.2
Краснодарский край,рубль,,2004,4378.9
Краснодарский край,рубль,,2005,5545.2
Краснодарский край,рубль,,2006,7193.1
Краснодарский край,рубль,,2007,9692.3
Астраханская область,рубль,,1995,324.3
Астраханская область,рубль,,1996,526.9
Астраханская область,рубль,,1997,664.3
Астраханская область,рубль,,1998,725.2
Астраханская область,рубль,,1999,1221.3
Астраханская область,рубль,,2000,1778.6
Астраханская область,рубль,,2001,2333.3
Астраханская область,рубль,,2002,3058.0
Астраханская область,рубль,,2003,3864.1
Астраханская область,рубль,,2004,4559.4
Астраханская область,рубль,,2005,5636.4
Астраханская область,рубль,,2006,7035.0
Астраханская область,рубль,,2007,8638.6
Волгоградская область,рубль,,1995,327.2
Волгоградская область,рубль,,1996,510.4
Волгоградская область,рубль,,1997,660.4
Волгоградская область,рубль,,1998,647.9
Волгоградская область,рубль,,1999,1118.0
Волгоградская область,рубль,,2000,1577.6
Волгоградская область,рубль,,2001,2163.0
Волгоградская область,рубль,,2002,2952.1
Волгоградская область,рубль,,2003,3802.9
Волгоградская область,рубль,,2004,4648.2
Волгоградская область,рубль,,2005,5908.1
Волгоградская область,рубль,,2006,7889.3
Волгоградская область,рубль,,2007,9409.8
Ростовская область,рубль,,1995,328.7
Ростовская область,рубль,,1996,516.0
Ростовская область,рубль,,1997,643.8
Ростовская область,рубль,,1998,705.5
Ростовская область,рубль,,1999,1211.9
Ростовская область,рубль,,2000,1653.3
Ростовская область,рубль,,2001,2270.6
Ростовская область,рубль,,2002,3025.7
Ростовская область,рубль,,2003,4023.9
Ростовская область,рубль,,2004,5038.1
Ростовская область,рубль,,2005,6359.7
Ростовская область,рубль,,2006,7482.5
Ростовская область,рубль,,2007,9538.8
Республика Дагестан,рубль,,1995,181.7
Республика Дагестан,рубль,,1996,247.6
Республика Дагестан,рубль,,1997,337.1
Республика Дагестан,рубль,,1998,360.9
Республика Дагестан,рубль,,1999,602.3
Республика Дагестан,рубль,,2000,861.3
Республика Дагестан,рубль,,2001,1141.2
Республика Дагестан,рубль,,2002,1534.0
Республика Дагестан,рубль,,2003,2125.0
Республика Дагестан,рубль,,2004,3311.2
Республика Дагестан,рубль,,2005,4388.5
Республика Дагестан,рубль,,2006,6112.1
Республика Дагестан,рубль,,2007,7724.2
Республика Ингушетия,рубль,,1995,123.2
Республика Ингушетия,рубль,,1996,215.5
Республика Ингушетия,рубль,,1997,307.7
Республика Ингушетия,рубль,,1998,334.1
Республика Ингушетия,рубль,,1999,456.0
Республика Ингушетия,рубль,,2000,587.2
Республика Ингушетия,рубль,,2001,908.5
Республика Ингушетия,рубль,,2002,1170.7
Республика Ингушетия,рубль,,2003,1402.2
Республика Ингушетия,рубль,,2004,1757.5
Республика Ингушетия,рубль,,2005,2737.3
Республика Ингушетия,рубль,,2006,3568.8
Республика Ингушетия,рубль,,2007,4886.7
Кабардино-Балкарская Республика,рубль,,1995,253.7
Кабардино-Балкарская Республика,рубль,,1996,372.5
Кабардино-Балкарская Республика,рубль,,1997,443.8
Кабардино-Балкарская Республика,рубль,,1998,481.1
Кабардино-Балкарская Республика,рубль,,1999,812.6
Кабардино-Балкарская Республика,рубль,,2000,1057.1
Кабардино-Балкарская Республика,рубль,,2001,1465.7
Кабардино-Балкарская Республика,рубль,,2002,2095.0
Кабардино-Балкарская Республика,рубль,,2003,2571.4
Кабардино-Балкарская Республика,рубль,,2004,3159.9
Кабардино-Балкарская Республика,рубль,,2005,4190.1
Кабардино-Балкарская Республика,рубль,,2006,5258.5
Кабардино-Балкарская Республика,рубль,,2007,6902.0
Карачаево-Черкесская Республика,рубль,,1995,232.0
Карачаево-Черкесская Республика,рубль,,1996,323.6
Карачаево-Черкесская Республика,рубль,,1997,434.8
Карачаево-Черкесская Республика,рубль,,1998,449.8
Карачаево-Черкесская Республика,рубль,,1999,709.4
Карачаево-Черкесская Республика,рубль,,2000,1039.5
Карачаево-Черкесская Республика,рубль,,2001,1341.7
Карачаево-Черкесская Республика,рубль,,2002,1999.4
Карачаево-Черкесская Республика,рубль,,2003,2619.2
Карачаево-Черкесская Республика,рубль,,2004,3343.7
Карачаево-Черкесская Республика,рубль,,2005,4083.8
Карачаево-Черкесская Республика,рубль,,2006,5196.3
Карачаево-Черкесская Республика,рубль,,2007,6402.0
Республика Северная Осетия-Алания,рубль,,1995,312.6
Республика Северная Осетия-Алания,рубль,,1996,435.1
Республика Северная Осетия-Алания,рубль,,1997,561.0
Республика Северная Осетия-Алания,рубль,,1998,613.5
Республика Северная Осетия-Алания,рубль,,1999,1072.3
Республика Северная Осетия-Алания,рубль,,2000,1472.8
Республика Северная Осетия-Алания,рубль,,2001,1632.2
Республика Северная Осетия-Алания,рубль,,2002,1961.0
Республика Северная Осетия-Алания,рубль,,2003,2596.0
Республика Северная Осетия-Алания,рубль,,2004,4085.8
Республика Северная Осетия-Алания,рубль,,2005,4668.8
Республика Северная Осетия-Алания,рубль,,2006,5976.7
Республика Северная Осетия-Алания,рубль,,2007,7781.7
Ставропольский край,рубль,,1995,329.4
Ставропольский край,рубль,,1996,516.7
Ставропольский край,рубль,,1997,594.1
Ставропольский край,рубль,,1998,630.3
Ставропольский край,рубль,,1999,1041.5
Ставропольский край,рубль,,2000,1405.0
Ставропольский край,рубль,,2001,1766.5
Ставропольский край,рубль,,2002,2335.2
Ставропольский край,рубль,,2003,3071.8
Ставропольский край,рубль,,2004,3886.1
Ставропольский край,рубль,,2005,5116.5
Ставропольский край,рубль,,2006,6488.4
Ставропольский край,рубль,,2007,8122.4
Приволжский федеральный округ,рубль,,2000,1726.2
Приволжский федеральный округ,рубль,,2001,2319.4
Приволжский федеральный округ,рубль,,2002,3034.9
Приволжский федеральный округ,рубль,,2003,3916.6
Приволжский федеральный округ,рубль,,2004,4786.6
Приволжский федеральный округ,рубль,,2005,6229.4
Приволжский федеральный округ,рубль,,2006,8014.1
Приволжский федеральный округ,рубль,,2007,9958.9
Республика Башкортостан,рубль,,1995,325.7
Республика Башкортостан,рубль,,1996,499.9
Республика Башкортостан,рубль,,1997,626.8
Республика Башкортостан,рубль,,1998,694.9
Республика Башкортостан,рубль,,1999,1244.1
Республика Башкортостан,рубль,,2000,1736.3
Республика Башкортостан,рубль,,2001,2400.2
Республика Башкортостан,рубль,,2002,3133.8
Республика Башкортостан,рубль,,2003,4153.1
Республика Башкортостан,рубль,,2004,5156.6
Республика Башкортостан,рубль,,2005,6886.5
Республика Башкортостан,рубль,,2006,8903.6
Республика Башкортостан,рубль,,2007,11072.8
Республика Марий Эл,рубль,,1995,262.4
Республика Марий Эл,рубль,,1996,372.1
Республика Марий Эл,рубль,,1997,443.9
Республика Марий Эл,рубль,,1998,429.9
Республика Марий Эл,рубль,,1999,817.3
Республика Марий Эл,рубль,,2000,1067.8
Республика Марий Эл,рубль,,2001,1387.6
Республика Марий Эл,рубль,,2002,1813.1
Республика Марий Эл,рубль,,2003,2189.0
Республика Марий Эл,рубль,,2004,2566.6
Республика Марий Эл,рубль,,2005,3376.0
Республика Марий Эл,рубль,,2006,4896.5
Республика Марий Эл,рубль,,2007,6072.3
Республика Мордовия,рубль,,1995,285.3
Республика Мордовия,рубль,,1996,412.0
Республика Мордовия,рубль,,1997,517.4
Республика Мордовия,рубль,,1998,518.5
Республика Мордовия,рубль,,1999,839.9
Республика Мордовия,рубль,,2000,1128.4
Республика Мордовия,рубль,,2001,1570.2
Республика Мордовия,рубль,,2002,2124.1
Республика Мордовия,рубль,,2003,2719.9
Республика Мордовия,рубль,,2004,3266.3
Республика Мордовия,рубль,,2005,4102.9
Республика Мордовия,рубль,,2006,4826.9
Республика Мордовия,рубль,,2007,6060.4
Республика Татарстан (Татарстан),рубль,,1995,393.8
Республика Татарстан (Татарстан),рубль,,1996,546.2
Республика Татарстан (Татарстан),рубль,,1997,689.8
Республика Татарстан (Татарстан),рубль,,1998,758.7
Республика Татарстан (Татарстан),рубль,,1999,1244.2
Республика Татарстан (Татарстан),рубль,,2000,1813.1
Республика Татарстан (Татарстан),рубль,,2001,2471.8
Республика Татарстан (Татарстан),рубль,,2002,3249.4
Республика Татарстан (Татарстан),рубль,,2003,4273.1
Республика Татарстан (Татарстан),рубль,,2004,5355.0
Республика Татарстан (Татарстан),рубль,,2005,7383.5
Республика Татарстан (Татарстан),рубль,,2006,9365.5
Республика Татарстан (Татарстан),рубль,,2007,11566.9
Удмуртская Республика,рубль,,1995,323.7
Удмуртская Республика,рубль,,1996,591.5
Удмуртская Республика,рубль,,1997,721.0
Удмуртская Республика,рубль,,1998,671.5
Удмуртская Республика,рубль,,1999,1058.4
Удмуртская Республика,рубль,,2000,1513.7
Удмуртская Республика,рубль,,2001,2024.7
Удмуртская Республика,рубль,,2002,2533.0
